id,company_id,product_id,version,created_at,effective_from,effective_to,department_id,project_id,segment_id,bom_code,batch_size,status,approval_status,approved_by,approved_at,labor_cost,machine_cost,electricity_cost,packing_cost,overhead_cost
1,14,31,1,2026-04-16 11:16:33.036305+00:00,,,,,,,,ACTIVE,DRAFT,,,0.0,0.0,0.0,0.0,0.0
2,14,34,1,2026-04-20 01:49:45.178497+00:00,,,2.0,2.0,1.0,,,ACTIVE,DRAFT,,,0.0,0.0,0.0,0.0,0.0
3,14,34,1,2026-04-20 01:51:04.903092+00:00,,,2.0,2.0,1.0,,,ACTIVE,DRAFT,,,0.0,0.0,0.0,0.0,0.0
5,6,2,1,2026-04-14 17:44:34.893240+00:00,,,,,,DEMO-BOM-6,100.0,ACTIVE,APPROVED,7.0,2026-04-24 17:44:34.893240+00:00,250.0,180.0,75.0,40.0,55.0
6,14,1,1,2026-04-14 17:44:34.893240+00:00,,,,,,DEMO-BOM-14,100.0,ACTIVE,APPROVED,9.0,2026-04-24 17:44:34.893240+00:00,250.0,180.0,75.0,40.0,55.0
7,6,2,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-GARMENT-6,220.0,ACTIVE,APPROVED,7.0,2026-04-21 17:48:51.531073+00:00,380.0,120.0,30.0,25.0,40.0
8,6,2,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-PHARMA-6,500.0,ACTIVE,DRAFT,7.0,,420.0,210.0,80.0,35.0,60.0
9,14,1,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-PHARMA-14,500.0,ACTIVE,DRAFT,9.0,,420.0,210.0,80.0,35.0,60.0
10,6,2,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-FOOD-6,150.0,ACTIVE,APPROVED,7.0,2026-04-21 17:48:51.531073+00:00,220.0,90.0,35.0,18.0,20.0
11,14,1,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-GARMENT-14,220.0,ACTIVE,APPROVED,9.0,2026-04-21 17:48:51.531073+00:00,380.0,120.0,30.0,25.0,40.0
12,14,1,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-FURNITURE-14,40.0,ACTIVE,APPROVED,9.0,2026-04-21 17:48:51.531073+00:00,260.0,180.0,22.0,10.0,50.0
13,6,2,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-ELECTRONICS-6,120.0,ACTIVE,APPROVED,7.0,2026-04-21 17:48:51.531073+00:00,500.0,240.0,95.0,20.0,85.0
14,14,1,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-FOOD-14,150.0,ACTIVE,APPROVED,9.0,2026-04-21 17:48:51.531073+00:00,220.0,90.0,35.0,18.0,20.0
15,14,1,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-ELECTRONICS-14,120.0,ACTIVE,APPROVED,9.0,2026-04-21 17:48:51.531073+00:00,500.0,240.0,95.0,20.0,85.0
16,6,2,1,2026-04-20 17:48:51.531073+00:00,,,,,,DEMO-BOM-FURNITURE-6,40.0,ACTIVE,APPROVED,7.0,2026-04-21 17:48:51.531073+00:00,260.0,180.0,22.0,10.0,50.0
4,14,31,1,2026-04-24 09:21:34.452988+00:00,,,,,,,1.0,ACTIVE,APPROVED,9.0,2026-04-24 11:14:02.197105+00:00,0.0,0.0,0.0,0.0,0.0
17,14,27,1,2026-04-24 12:39:12.149483+00:00,,,,,,,100.0,ACTIVE,DRAFT,,,0.0,0.0,0.0,0.0,0.0
