id,owner_id,name,fiscal_year_start,fiscal_year_end,address,phone,created_at,updated_at,tenant_id,mobile,pan,country,currency,default_purchase_ledger_id,default_input_tax_ledger_id,pan_number,business_type,cost_center_mode,cost_center_single_dimension,inventory_valuation_method,default_sales_ledger_id,default_output_tax_ledger_id,default_item_income_ledger_id,default_item_expense_ledger_id,default_item_input_tax_ledger_id,default_item_output_tax_ledger_id,enable_cost_centers_in_vouchers,business_type_id
19,13,manisha4 Company,,,,,2025-11-23 07:33:10.392582+00:00,2026-02-14 08:16:27.935081+00:00,16,,,,,18.0,12.0,,,double,,AVERAGE,17.0,13.0,17.0,18.0,12.0,13.0,True,
43,28,Repro Company,,,,,2026-03-29 03:24:47.332175+00:00,2026-03-29 03:24:47.332178+00:00,29,,,,,,,,,,,AVERAGE,,,,,,,False,
44,30,None Test Co,,,,,2026-03-29 03:36:49.861381+00:00,2026-03-29 03:36:49.861384+00:00,30,,,,,,,,,,,AVERAGE,,,,,,,False,
45,31,Strict Test Co,,,,,2026-03-29 03:57:53.160471+00:00,2026-03-29 03:57:53.160474+00:00,32,,,,,,,,,,,AVERAGE,,,,,,,False,
40,23,A-One Cafe & Restro,,,,,2026-03-28 11:44:02.246856+00:00,2026-04-02 19:59:24.372372+00:00,24,,,NP,NPR,981.0,984.0,,,double,,AVERAGE,992.0,985.0,992.0,981.0,984.0,985.0,False,4.0
46,36,Test User Company,,,,,2026-04-12 05:10:46.333879+00:00,2026-04-12 05:10:46.714879+00:00,34,,,,,1060.0,1054.0,,,,,AVERAGE,1059.0,1055.0,1059.0,1060.0,1054.0,1055.0,False,
20,13,Demo company,2025-07-15,2025-11-17,Kathmandu,9851220665,2025-11-23 08:11:41.687657+00:00,2025-12-14 13:30:41.794340+00:00,16,,,NP,NPR,496.0,40.0,,,,,AVERAGE,48.0,41.0,48.0,496.0,40.0,41.0,False,
21,15,priya@gmail.com Company,,,,,2025-11-27 10:48:24.015832+00:00,2025-12-14 13:30:41.904790+00:00,17,,,,,142.0,136.0,,,,,AVERAGE,141.0,137.0,141.0,142.0,136.0,137.0,False,
22,16,priya12@gmail.com Company,,,,,2025-11-27 11:08:08.837163+00:00,2025-12-14 13:30:42.015781+00:00,18,,,,,172.0,166.0,,,,,AVERAGE,171.0,167.0,171.0,172.0,166.0,167.0,False,
23,17,priya kumari Company,,,,,2025-11-27 11:12:50.289860+00:00,2025-12-14 13:30:42.154410+00:00,19,,,,,202.0,196.0,,,,,AVERAGE,201.0,197.0,201.0,202.0,196.0,197.0,False,
24,18,Testcompany Company,,,,,2025-11-29 03:11:22.146691+00:00,2025-12-14 13:30:42.309048+00:00,20,,,,,234.0,228.0,,,,,AVERAGE,233.0,229.0,233.0,234.0,228.0,229.0,False,
1,1,Prixna IT Solution,,,Kathmandu,0173918738917,2025-11-17 10:36:51.412595+00:00,2025-12-14 13:30:40.168762+00:00,2,,,,,290.0,284.0,,,,,AVERAGE,289.0,285.0,289.0,290.0,284.0,285.0,False,
3,1,My First Company,2025-04-01,2026-03-31,Kathmandu,9800000000,2025-11-17 10:57:52.748773+00:00,2025-12-14 13:30:40.366318+00:00,2,,,,,319.0,313.0,,,,,AVERAGE,318.0,314.0,318.0,319.0,313.0,314.0,False,
4,3,Green Land Company,,,,,2025-11-18 11:02:48.514668+00:00,2025-12-14 13:30:40.554468+00:00,4,,,,,349.0,343.0,,,,,AVERAGE,348.0,344.0,348.0,349.0,343.0,344.0,False,
5,6,priyanshi Company,,,,,2025-11-18 12:44:45.313409+00:00,2025-12-14 13:30:40.738930+00:00,9,,,,,379.0,373.0,,,,,AVERAGE,378.0,374.0,378.0,379.0,373.0,374.0,False,
16,10,Manisha & Company,2025-08-12,2025-11-25,Pokhara,9851220665,2025-11-22 13:11:56.873897+00:00,2025-12-14 13:30:41.168235+00:00,13,,,,,409.0,403.0,,,,,AVERAGE,408.0,404.0,408.0,409.0,403.0,404.0,False,
17,11,Manisha2 Company,,,,,2025-11-23 06:29:05.257456+00:00,2025-12-14 13:30:41.356070+00:00,14,,,,,439.0,433.0,,,,,AVERAGE,438.0,434.0,438.0,439.0,433.0,434.0,False,
37,20,Admin User Company,,,,,2026-02-23 11:57:33.979241+00:00,2026-02-23 11:57:34.573862+00:00,21,,,,,680.0,674.0,,,,,AVERAGE,679.0,675.0,679.0,680.0,674.0,675.0,False,
38,21,Tester Company,,,,,2026-02-23 11:58:50.643853+00:00,2026-02-23 11:58:51.121588+00:00,22,,,,,710.0,704.0,,,,,AVERAGE,709.0,705.0,709.0,710.0,704.0,705.0,False,
47,37,test@example.com Company,,,,,2026-04-13 04:32:28.798136+00:00,2026-04-13 04:32:29.075725+00:00,35,,,,,1093.0,1087.0,,,,,AVERAGE,1092.0,1088.0,1092.0,1093.0,1087.0,1088.0,False,
