id,company_id,name,sku,unit,default_sales_rate,default_purchase_rate,default_tax_rate,income_ledger_id,expense_ledger_id,output_tax_ledger_id,input_tax_ledger_id,code,barcode,category,sub_category,brand_name,manufacturer,model_number,mrp,wholesale_price,opening_stock,reorder_level,min_stock_warning,location,description,specifications,image_url,gallery_images,tax_type,hsn_sac_code,allow_negative_stock,costing_method,is_active,show_in_online_store,is_featured,is_returnable,has_variants,variant_attributes,seo_title,seo_keywords,slug,created_by_id,updated_by_id,created_at,updated_at,opening_rate,opening_value,opening_date,delivery_charge,is_fixed_asset,depreciation_rate,depreciation_method,generic_name,dosage_form,drug_schedule,composition,strength,packing,prescription_required,is_batch_tracked,is_expiry_tracked,metadata,field_metadata,duty_tax_id,standard_cost,sell_as_kit
20,14,Pendrive,,pcs,850.0,500.0,0.0,107.0,108.0,100.0,99.0,00255,,,,,,,,,5.0,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-12-14 20:23:42.079534+00:00,2025-12-14 20:23:42.079534+00:00,,,,,False,0.0,Straight Line,,,,,,,False,False,False,,,,,False
2,6,dsadad,adada,pcs,0.0,0.0,0.0,,,,,,addad,,,,,,,,,,,,dada,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-23 09:00:51.010146+00:00,2025-11-23 09:00:51.010153+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
4,23,Mouse,,pcs,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-27 11:47:34.063633+00:00,2025-11-27 11:47:34.063642+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
7,6,Pendrive,,pcs,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-28 21:59:13.357701+00:00,2025-11-28 21:59:13.357710+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
18,14,Memory Card 64 gb,,pcs,0.0,0.0,0.0,107.0,108.0,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-12-14 18:18:53.100668+00:00,2025-12-14 18:18:53.100668+00:00,,,,,False,0.0,Straight Line,,,,,,,False,False,False,,,,,False
11,6,Desktop PC,,pcs,0.0,0.0,0.0,,,,,LAP002,,,,Dell,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-29 00:31:58.099991+00:00,2025-11-29 00:31:58.099996+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
5,6,Keyboard,,pcs,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-28 21:58:44.202811+00:00,2025-11-29 01:12:20.987740+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
10,6,Gaming mouse,,pcs,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-29 00:09:07.972611+00:00,2025-11-29 03:42:52.328363+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
8,6,Gaming Keyboard,,pcs,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-28 21:59:22.625742+00:00,2025-11-29 03:43:08.273523+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
9,6,Tablet,,pcs,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-28 22:33:31.004997+00:00,2025-11-29 03:43:22.861970+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
3,6,Keyboard Cover,,pcs,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-11-23 09:05:58.653820+00:00,2025-11-29 03:43:42.138754+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
12,6,Speaker,spkr,pcs,0.0,0.0,0.0,,,,,IT-0021,079077,,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-12-02 02:41:54.474718+00:00,2025-12-02 02:41:54.474718+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
14,6,Computer Basic,COMB,pcs,3500.0,0.0,0.0,92.0,,,,P-001,,Service,,,,,5000.0,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2025-12-09 16:16:22.758898+00:00,2025-12-09 16:16:22.758898+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
26,14,computer (FA),,pcs,0.0,0.0,0.0,107.0,738.0,100.0,99.0,5999,,Computers,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,,,,,,,2026-03-13 13:40:01.607263+00:00,2026-03-13 13:40:01.607263+00:00,,,,,True,25.0,Straight Line,,,,,,,False,False,False,,,,,False
6,6,Laptop,LAP-001,pcs,0.0,0.0,0.0,76.0,77.0,73.0,74.0,LAP001,123,i5 Laptop,6th Gen,Dell,,,,,0.0,,,,Dell Laptop,i5-6th-gen,,,VAT,,False,,True,True,True,True,True,,,,,,,2025-11-28 21:59:01.222503+00:00,2025-11-28 22:36:54.701071+00:00,,,,,False,,,,,,,,,False,False,False,,,,,False
