id,company_id,code,name,paid,annual_quota,carry_forward,is_active
1,14,CL,Casual Leave,True,,False,True
2,14,SL,Sick Leave,True,,False,True
3,14,AL,Annual Leave,True,,False,True
4,37,CL,Casual Leave,True,,False,True
5,37,SL,Sick Leave,True,,False,True
6,37,AL,Annual Leave,True,,False,True
7,38,CL,Casual Leave,True,,False,True
8,38,SL,Sick Leave,True,,False,True
9,38,AL,Annual Leave,True,,False,True
10,39,CL,Casual Leave,True,,False,True
11,39,SL,Sick Leave,True,,False,True
12,39,AL,Annual Leave,True,,False,True
13,6,CL,Casual Leave,True,,False,True
14,6,SL,Sick Leave,True,,False,True
15,6,AL,Annual Leave,True,,False,True
16,1,CL,Casual Leave,True,,False,True
17,1,SL,Sick Leave,True,,False,True
18,1,AL,Annual Leave,True,,False,True
19,3,CL,Casual Leave,True,,False,True
20,3,SL,Sick Leave,True,,False,True
21,3,AL,Annual Leave,True,,False,True
22,4,CL,Casual Leave,True,,False,True
23,4,SL,Sick Leave,True,,False,True
24,4,AL,Annual Leave,True,,False,True
25,5,CL,Casual Leave,True,,False,True
26,5,SL,Sick Leave,True,,False,True
27,5,AL,Annual Leave,True,,False,True
28,16,CL,Casual Leave,True,,False,True
29,16,SL,Sick Leave,True,,False,True
30,16,AL,Annual Leave,True,,False,True
31,17,CL,Casual Leave,True,,False,True
32,17,SL,Sick Leave,True,,False,True
33,17,AL,Annual Leave,True,,False,True
34,18,CL,Casual Leave,True,,False,True
35,18,SL,Sick Leave,True,,False,True
36,18,AL,Annual Leave,True,,False,True
37,19,CL,Casual Leave,True,,False,True
38,19,SL,Sick Leave,True,,False,True
39,19,AL,Annual Leave,True,,False,True
40,20,CL,Casual Leave,True,,False,True
41,20,SL,Sick Leave,True,,False,True
42,20,AL,Annual Leave,True,,False,True
43,21,CL,Casual Leave,True,,False,True
44,21,SL,Sick Leave,True,,False,True
45,21,AL,Annual Leave,True,,False,True
46,22,CL,Casual Leave,True,,False,True
47,22,SL,Sick Leave,True,,False,True
48,22,AL,Annual Leave,True,,False,True
49,23,CL,Casual Leave,True,,False,True
50,23,SL,Sick Leave,True,,False,True
51,23,AL,Annual Leave,True,,False,True
52,24,CL,Casual Leave,True,,False,True
53,24,SL,Sick Leave,True,,False,True
54,24,AL,Annual Leave,True,,False,True
55,27,CL,Casual Leave,True,,False,True
56,27,SL,Sick Leave,True,,False,True
57,27,AL,Annual Leave,True,,False,True
58,28,CL,Casual Leave,True,,False,True
59,28,SL,Sick Leave,True,,False,True
60,28,AL,Annual Leave,True,,False,True
61,31,CL,Casual Leave,True,,False,True
62,31,SL,Sick Leave,True,,False,True
63,31,AL,Annual Leave,True,,False,True
64,32,CL,Casual Leave,True,,False,True
65,32,SL,Sick Leave,True,,False,True
66,32,AL,Annual Leave,True,,False,True
67,33,CL,Casual Leave,True,,False,True
68,33,SL,Sick Leave,True,,False,True
69,33,AL,Annual Leave,True,,False,True
70,40,CL,Casual Leave,True,,False,True
71,40,SL,Sick Leave,True,,False,True
72,40,AL,Annual Leave,True,,False,True
73,46,CL,Casual Leave,True,,False,True
74,46,SL,Sick Leave,True,,False,True
75,46,AL,Annual Leave,True,,False,True
76,47,CL,Casual Leave,True,,False,True
77,47,SL,Sick Leave,True,,False,True
78,47,AL,Annual Leave,True,,False,True
