id,code,label,module,parent_id,sort_order,is_active
6,sales.invoice.create,New Sales Invoice,sales,,11.0,True
55,settings.language,Language,Settings,51.0,903.0,True
93,DELIVERY,Delivery,Delivery,,75.0,True
94,delivery.places_partners,Places & Partners,Delivery,93.0,76.0,True
95,delivery.packages,Packages & Dispatches,Delivery,93.0,77.0,True
96,PERFORMANCE,Performance,Performance,,85.0,True
97,performance.dashboard,Performance Dashboard,Performance,96.0,86.0,True
29,settings.plan,My Plan,Settings,,10.0,True
98,performance.rewards,Rewards,Performance,96.0,87.0,True
99,RESOURCES,Resources,Resources,,95.0,True
100,resources.library,Library,Resources,99.0,96.0,True
101,communications.logs,Comm. Logs,Resources,99.0,97.0,True
19,reports.stock,Stock Status & Alerts,Reports,44.0,206.0,True
32,DASHBOARD,Dashboard,General,,10.0,True
33,COMPANIES,Companies,Setup,,20.0,True
34,USERS,Users,Setup,,30.0,True
35,SALES,Sales,Sales,,40.0,True
38,PURCHASES,Purchases,Purchases,,50.0,True
103,reports.revenue_analytics,Revenue Analytics,Dashboard Analytics,44.0,5.0,True
104,reports.performance_insights,Performance Insights,Dashboard Analytics,44.0,6.0,True
41,INVENTORY,Inventory,Inventory,,60.0,True
47,accounting.masters,Master,Accounting,,100.0,True
48,accounting.masters.ledgers,Ledgers,Accounting,47.0,101.0,True
43,INVENTORY_STOCK_SUMMARY,Stock Summary,Reports,,200.0,True
44,REPORTS,Reports,Reports,,210.0,True
45,REPORTS_SALES,Sales Reports,Reports,44.0,211.0,True
46,REPORTS_PURCHASES,Purchase Reports,Reports,44.0,212.0,True
13,inventory.categories,Categories,Inventory,41.0,62.0,True
14,inventory.brands,Brands,Inventory,41.0,64.0,True
81,reports.monthly_income_expense,Monthly Income & Expense,Reports,44.0,219.0,True
108,dashboard.expenses,Expenses Widget,Dashboard Analytics,32.0,4.0,True
50,inventory.subcategories,Subcategories,Inventory,41.0,63.0,True
51,settings,Settings,Settings,,900.0,True
109,dashboard.net_income,Net-Income Widget,Dashboard Analytics,32.0,5.0,True
110,dashboard.receivables,Receivables Summary Widget,Dashboard Analytics,32.0,6.0,True
111,dashboard.payables,Payables Summary Widget,Dashboard Analytics,32.0,7.0,True
112,dashboard.balances,Balances (Cash/Bank) Widget,Dashboard Analytics,32.0,8.0,True
113,dashboard.income_vs_expenses,Income vs Expenses Waterfall Chart,Dashboard Analytics,32.0,9.0,True
