id,company_id,tenant_id,name,ledger_id,is_active,created_at,updated_at,ledger_group_id
1,21,17,Cash,131,True,2025-11-27 10:48:24.299089+00:00,2025-11-27 10:48:24.299095+00:00,
2,21,17,Bank,133,True,2025-11-27 10:48:24.299097+00:00,2025-11-27 10:48:24.299099+00:00,
3,22,18,Cash,161,True,2025-11-27 11:08:09.034301+00:00,2025-11-27 11:08:09.034305+00:00,
4,22,18,Bank,163,True,2025-11-27 11:08:09.034306+00:00,2025-11-27 11:08:09.034307+00:00,
5,23,19,Cash,191,True,2025-11-27 11:12:50.428130+00:00,2025-11-27 11:12:50.428133+00:00,
6,23,19,Bank,193,True,2025-11-27 11:12:50.428135+00:00,2025-11-27 11:12:50.428136+00:00,
10,24,20,Cash,223,True,2025-11-29 03:11:22.402811+00:00,2025-11-29 03:11:22.402816+00:00,
11,24,20,Bank,225,True,2025-11-29 03:11:22.402819+00:00,2025-11-29 03:11:22.402820+00:00,
7,6,10,eSewa,265,True,2025-11-28 21:57:48.318861+00:00,2025-12-09 03:04:40.869943+00:00,
12,6,10,Ime Pay,265,True,2025-12-08 23:33:08.601218+00:00,2025-12-09 03:05:03.091062+00:00,
8,6,10,Khalti,265,True,2025-11-28 21:57:59.822631+00:00,2025-12-09 03:05:13.971978+00:00,
9,6,10,Cash,68,True,2025-11-29 01:10:08.264250+00:00,2025-12-09 03:05:25.308323+00:00,
14,1,2,Cash,279,True,2025-12-14 13:30:40.173685+00:00,2025-12-14 13:30:40.173690+00:00,
15,1,2,Bank,281,True,2025-12-14 13:30:40.173692+00:00,2025-12-14 13:30:40.173694+00:00,
16,3,2,Cash,2,True,2025-12-14 13:30:40.367633+00:00,2025-12-14 13:30:40.367638+00:00,
18,4,4,Cash,338,True,2025-12-14 13:30:40.555486+00:00,2025-12-14 13:30:40.555489+00:00,
19,4,4,Bank,340,True,2025-12-14 13:30:40.555491+00:00,2025-12-14 13:30:40.555492+00:00,
20,5,9,Cash,368,True,2025-12-14 13:30:40.740089+00:00,2025-12-14 13:30:40.740094+00:00,
21,5,9,Bank,370,True,2025-12-14 13:30:40.740097+00:00,2025-12-14 13:30:40.740099+00:00,
25,16,13,Cash,398,True,2025-12-14 13:30:41.169759+00:00,2025-12-14 13:30:41.169762+00:00,
26,16,13,Bank,400,True,2025-12-14 13:30:41.169764+00:00,2025-12-14 13:30:41.169765+00:00,
27,17,14,Cash,428,True,2025-12-14 13:30:41.356942+00:00,2025-12-14 13:30:41.356945+00:00,
28,17,14,Bank,430,True,2025-12-14 13:30:41.356947+00:00,2025-12-14 13:30:41.356948+00:00,
29,18,15,Cash,458,True,2025-12-14 13:30:41.547343+00:00,2025-12-14 13:30:41.547348+00:00,
30,18,15,Bank,460,True,2025-12-14 13:30:41.547351+00:00,2025-12-14 13:30:41.547352+00:00,
31,19,16,Cash,9,True,2025-12-14 13:30:41.665701+00:00,2025-12-14 13:30:41.665709+00:00,
32,19,16,Bank,11,True,2025-12-14 13:30:41.665712+00:00,2025-12-14 13:30:41.665714+00:00,
33,20,16,Cash,37,True,2025-12-14 13:30:41.795117+00:00,2025-12-14 13:30:41.795120+00:00,
34,20,16,Bank,39,True,2025-12-14 13:30:41.795121+00:00,2025-12-14 13:30:41.795122+00:00,
35,37,21,Cash,669,True,2026-02-23 11:57:34.580040+00:00,2026-02-23 11:57:34.580048+00:00,
36,37,21,Bank,671,True,2026-02-23 11:57:34.580053+00:00,2026-02-23 11:57:34.580057+00:00,
37,38,22,Cash,699,True,2026-02-23 11:58:51.123928+00:00,2026-02-23 11:58:51.123937+00:00,
38,38,22,Bank,701,True,2026-02-23 11:58:51.123942+00:00,2026-02-23 11:58:51.123947+00:00,
39,39,23,Cash,743,True,2026-03-09 06:39:51.685089+00:00,2026-03-09 06:39:51.685093+00:00,
40,39,23,Bank,745,True,2026-03-09 06:39:51.685095+00:00,2026-03-09 06:39:51.685096+00:00,
13,14,12,Cash-Mode,96,False,2025-12-14 09:32:04.251097+00:00,2026-03-15 02:29:51.931951+00:00,
