id,company_id,payslip_id,payhead_id,type,amount,created_at
1,14,4,1,EARNING,5000.0,2026-04-21 02:44:08.723084+00:00
2,14,4,2,EARNING,2000.0,2026-04-21 02:44:08.723091+00:00
3,14,4,3,EARNING,1000.0,2026-04-21 02:44:08.723095+00:00
4,14,4,4,EARNING,1000.0,2026-04-21 02:44:08.723099+00:00
5,14,4,5,EARNING,500.0,2026-04-21 02:44:08.723115+00:00
6,14,4,6,EARNING,200.0,2026-04-21 02:44:08.723120+00:00
7,14,4,7,DEDUCTION,100.0,2026-04-21 02:44:08.723124+00:00
8,14,4,8,DEDUCTION,500.0,2026-04-21 02:44:08.723128+00:00
9,14,4,9,DEDUCTION,500.0,2026-04-21 02:44:08.723132+00:00
10,14,4,10,DEDUCTION,1000.0,2026-04-21 02:44:08.723136+00:00
11,14,5,1,EARNING,10000.0,2026-04-21 02:44:08.759741+00:00
12,14,6,2,EARNING,700.0,2026-04-21 20:33:13.986509+00:00
13,14,7,2,EARNING,500.0,2026-04-21 20:33:13.999996+00:00
14,14,8,1,EARNING,10000.0,2026-04-22 00:48:58.735860+00:00
15,14,8,3,EARNING,2000.0,2026-04-22 00:48:58.735864+00:00
16,14,8,2,EARNING,1000.0,2026-04-22 00:48:58.735867+00:00
17,14,8,5,EARNING,2000.0,2026-04-22 00:48:58.735870+00:00
18,14,9,2,EARNING,500.0,2026-04-22 00:48:58.750077+00:00
22,14,13,5,EARNING,2000.0,2026-04-22 01:23:51.923532+00:00
23,14,13,2,EARNING,4000.0,2026-04-22 01:23:51.923543+00:00
24,14,14,5,EARNING,1000.0,2026-04-22 01:23:51.932033+00:00
25,14,14,2,EARNING,4000.0,2026-04-22 01:23:51.932039+00:00
33,14,23,5,EARNING,2000.0,2026-04-22 01:44:59.991770+00:00
34,14,23,2,EARNING,4000.0,2026-04-22 01:44:59.991779+00:00
35,14,24,5,EARNING,1000.0,2026-04-22 01:44:59.999562+00:00
36,14,24,2,EARNING,4000.0,2026-04-22 01:44:59.999567+00:00
47,14,29,5,EARNING,2000.0,2026-04-22 04:31:11.955595+00:00
48,14,29,2,EARNING,4000.0,2026-04-22 04:31:11.955599+00:00
49,14,29,1,EARNING,50000.0,2026-04-22 04:31:11.955602+00:00
50,14,30,5,EARNING,1000.0,2026-04-22 04:31:11.968709+00:00
51,14,30,2,EARNING,4000.0,2026-04-22 04:31:11.968717+00:00
52,14,30,1,EARNING,15000.0,2026-04-22 04:31:11.968721+00:00
59,14,33,5,EARNING,2000.0,2026-04-22 10:01:27.352490+00:00
60,14,33,2,EARNING,4000.0,2026-04-22 10:01:27.352496+00:00
61,14,33,1,EARNING,50000.0,2026-04-22 10:01:27.352499+00:00
62,14,34,5,EARNING,1000.0,2026-04-22 10:01:27.383851+00:00
63,14,34,2,EARNING,4000.0,2026-04-22 10:01:27.383864+00:00
64,14,34,1,EARNING,15000.0,2026-04-22 10:01:27.383870+00:00
65,14,35,5,EARNING,2000.0,2026-04-22 23:30:19.084885+00:00
66,14,35,2,EARNING,4000.0,2026-04-22 23:30:19.084898+00:00
67,14,35,1,EARNING,50000.0,2026-04-22 23:30:19.084903+00:00
68,14,36,5,EARNING,1000.0,2026-04-22 23:30:19.139516+00:00
69,14,36,2,EARNING,4000.0,2026-04-22 23:30:19.139521+00:00
70,14,36,1,EARNING,15000.0,2026-04-22 23:30:19.139523+00:00
