id,company_id,payroll_run_id,employee_id,payable_days,absent_days,late_minutes,overtime_minutes,earnings_total,deductions_total,net_pay,is_manual_override,override_reason,created_at,updated_at,tds_amount
2,14,2,2,0.0,0.0,0,0,0.0,0.0,0.0,False,,2026-04-21 00:13:19.919375+00:00,2026-04-21 00:13:19.919393+00:00,0.0
3,14,2,3,0.0,0.0,0,0,0.0,0.0,0.0,False,,2026-04-21 00:13:19.949517+00:00,2026-04-21 00:13:19.949557+00:00,0.0
4,14,3,2,30.0,0.0,0,0,9700.0,2100.0,7600.0,True,Updated via Preview Grid,2026-04-21 02:44:08.371437+00:00,2026-04-21 02:44:08.379950+00:00,0.0
5,14,3,3,30.0,0.0,0,0,10000.0,0.0,10000.0,True,Updated via Preview Grid,2026-04-21 02:44:08.720523+00:00,2026-04-21 02:44:08.758458+00:00,0.0
6,14,4,2,0.0,0.0,0,0,700.0,0.0,700.0,False,,2026-04-21 20:33:13.957426+00:00,2026-04-21 20:33:13.980469+00:00,0.0
7,14,4,3,0.0,0.0,0,0,500.0,5.0,495.0,False,,2026-04-21 20:33:13.982573+00:00,2026-04-21 20:33:13.997953+00:00,5.0
8,14,5,2,0.0,0.0,0,0,15000.0,0.0,15000.0,False,,2026-04-22 00:48:58.722061+00:00,2026-04-22 00:48:58.733256+00:00,0.0
9,14,5,3,0.0,0.0,0,0,500.0,5.0,495.0,False,,2026-04-22 00:48:58.734228+00:00,2026-04-22 00:48:58.748680+00:00,5.0
33,14,9,2,31.0,0.0,0,0,56000.0,0.0,56000.0,False,,2026-04-22 10:01:27.314007+00:00,2026-04-22 10:01:27.348550+00:00,0.0
11,14,1,2,0.0,0.0,0,0,0.0,0.0,0.0,True,Updated via Preview Grid,2026-04-22 01:21:37.338255+00:00,2026-04-22 01:22:10.167761+00:00,0.0
12,14,1,3,30.0,0.0,0,0,0.0,0.0,0.0,True,Updated via Preview Grid,2026-04-22 01:22:10.169450+00:00,2026-04-22 01:22:10.172138+00:00,0.0
13,14,6,2,0.0,0.0,0,0,6000.0,0.0,6000.0,False,,2026-04-22 01:23:51.912235+00:00,2026-04-22 01:23:51.921342+00:00,0.0
14,14,6,3,0.0,0.0,0,0,5000.0,50.0,4950.0,False,,2026-04-22 01:23:51.922281+00:00,2026-04-22 01:23:51.930768+00:00,50.0
34,14,9,3,31.0,0.0,0,0,20000.0,200.0,19800.0,False,,2026-04-22 10:01:27.373533+00:00,2026-04-22 10:01:27.381427+00:00,200.0
35,14,10,2,30.0,0.0,0,0,56000.0,0.0,56000.0,False,,2026-04-22 23:30:18.881519+00:00,2026-04-22 23:30:19.035975+00:00,0.0
23,14,8,2,30.0,0.0,0,0,6000.0,0.0,6000.0,True,ok,2026-04-22 01:44:59.972756+00:00,2026-04-22 01:45:53.590091+00:00,0.0
24,14,8,3,30.0,0.0,0,0,5000.0,50.0,4950.0,True,ok,2026-04-22 01:44:59.989564+00:00,2026-04-22 01:46:10.925658+00:00,50.0
36,14,10,3,30.0,0.0,0,0,20000.0,200.0,19800.0,False,,2026-04-22 23:30:19.037590+00:00,2026-04-22 23:30:19.138052+00:00,200.0
29,14,7,2,31.0,0.0,0,0,56000.0,0.0,56000.0,False,,2026-04-22 04:31:11.938168+00:00,2026-04-22 04:31:11.954047+00:00,0.0
30,14,7,3,31.0,0.0,0,0,20000.0,200.0,19800.0,False,,2026-04-22 04:31:11.959728+00:00,2026-04-22 04:31:11.966898+00:00,200.0
