company_id,default_salary_expense_ledger_id,tds_payable_ledger_id,ssf_payable_ledger_id,late_grace_minutes,late_penalty_mode,late_penalty_rate,overtime_mode,overtime_multiplier,weekoff_days,created_at,updated_at
14,113,105.0,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-02-15 09:00:38.172287+00:00,2026-02-15 09:00:38.172293+00:00
37,685,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-02-23 11:57:34.616206+00:00,2026-02-23 11:57:34.616214+00:00
38,715,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-02-23 11:58:51.139608+00:00,2026-02-23 11:58:51.139621+00:00
39,764,756.0,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-09 06:39:51.703986+00:00,2026-03-09 06:39:51.703990+00:00
6,82,262.0,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-14 04:27:26.810716+00:00,2026-03-14 04:27:26.810720+00:00
1,295,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:15.924268+00:00,2026-03-24 22:56:15.924274+00:00
3,324,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:16.129951+00:00,2026-03-24 22:56:16.129956+00:00
4,354,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:16.262235+00:00,2026-03-24 22:56:16.262242+00:00
5,384,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:16.418396+00:00,2026-03-24 22:56:16.418401+00:00
16,414,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:16.795672+00:00,2026-03-24 22:56:16.795676+00:00
17,444,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:16.919840+00:00,2026-03-24 22:56:16.919844+00:00
18,479,471.0,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:17.045759+00:00,2026-03-24 22:56:17.045763+00:00
19,23,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:17.165455+00:00,2026-03-24 22:56:17.165459+00:00
20,54,46.0,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:17.290173+00:00,2026-03-24 22:56:17.290177+00:00
21,147,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:17.409939+00:00,2026-03-24 22:56:17.409943+00:00
22,177,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:17.530221+00:00,2026-03-24 22:56:17.530225+00:00
23,207,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:17.650933+00:00,2026-03-24 22:56:17.650937+00:00
24,239,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:17.781040+00:00,2026-03-24 22:56:17.781043+00:00
27,827,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:18.013371+00:00,2026-03-24 22:56:18.013376+00:00
28,858,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:18.266810+00:00,2026-03-24 22:56:18.266818+00:00
31,890,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:18.512041+00:00,2026-03-24 22:56:18.512046+00:00
32,922,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:18.709431+00:00,2026-03-24 22:56:18.709439+00:00
33,954,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-24 22:56:18.908838+00:00,2026-03-24 22:56:18.908844+00:00
40,998,990.0,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-03-28 11:44:03.013846+00:00,2026-03-28 11:44:03.013851+00:00
46,1065,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-04-12 05:10:46.749550+00:00,2026-04-12 05:10:46.749557+00:00
47,1098,,,0,PER_MINUTE,0.0,PER_MINUTE,1.0,SAT,2026-04-13 04:32:29.097049+00:00,2026-04-13 04:32:29.097054+00:00
