id,company_id,code,name,start_time,end_time,expected_work_minutes,grace_minutes,allow_night_shift,created_at,updated_at
1,14,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-02-15 09:00:38.198196+00:00,2026-02-15 09:00:38.198200+00:00
2,37,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-02-23 11:57:34.636791+00:00,2026-02-23 11:57:34.636809+00:00
3,38,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-02-23 11:58:51.148500+00:00,2026-02-23 11:58:51.148511+00:00
4,39,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-09 06:39:51.718312+00:00,2026-03-09 06:39:51.718316+00:00
5,6,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-14 04:27:26.829375+00:00,2026-03-14 04:27:26.829380+00:00
6,1,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:15.940932+00:00,2026-03-24 22:56:15.940937+00:00
7,3,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:16.135289+00:00,2026-03-24 22:56:16.135293+00:00
8,4,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:16.265494+00:00,2026-03-24 22:56:16.265499+00:00
9,5,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:16.424871+00:00,2026-03-24 22:56:16.424875+00:00
10,16,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:16.799603+00:00,2026-03-24 22:56:16.799608+00:00
11,17,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:16.923043+00:00,2026-03-24 22:56:16.923047+00:00
12,18,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:17.049318+00:00,2026-03-24 22:56:17.049321+00:00
13,19,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:17.168705+00:00,2026-03-24 22:56:17.168709+00:00
14,20,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:17.293480+00:00,2026-03-24 22:56:17.293484+00:00
15,21,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:17.413436+00:00,2026-03-24 22:56:17.413440+00:00
16,22,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:17.533393+00:00,2026-03-24 22:56:17.533397+00:00
17,23,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:17.655259+00:00,2026-03-24 22:56:17.655264+00:00
18,24,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:17.784181+00:00,2026-03-24 22:56:17.784186+00:00
19,27,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:18.017328+00:00,2026-03-24 22:56:18.017333+00:00
20,28,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:18.270879+00:00,2026-03-24 22:56:18.270884+00:00
21,31,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:18.515777+00:00,2026-03-24 22:56:18.515783+00:00
22,32,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:18.713598+00:00,2026-03-24 22:56:18.713604+00:00
23,33,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-24 22:56:18.912644+00:00,2026-03-24 22:56:18.912648+00:00
24,40,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-03-28 11:44:03.031438+00:00,2026-03-28 11:44:03.031443+00:00
25,46,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-04-12 05:10:46.770990+00:00,2026-04-12 05:10:46.770995+00:00
26,47,DAY,Day Shift,10:00:00,17:00:00,420,0,False,2026-04-13 04:32:29.109853+00:00,2026-04-13 04:32:29.109857+00:00
