id,company_id,production_order_id,material_cost,labor_cost,machine_cost,electricity_cost,packing_cost,overhead_cost,total_batch_cost,cost_per_unit,variance_cost,profit_margin,created_by,created_at,updated_at
23,14,6,7200.0,130.0,55.0,20.0,7.0,8.0,7420.0,130.175439,0.0,16.2,9,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
24,6,7,7200.0,130.0,55.0,20.0,7.0,8.0,7420.0,130.175439,0.0,16.2,7,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
25,6,19,9800.0,220.0,90.0,35.0,18.0,20.0,10183.0,70.227586,0.0,10.5,7,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
26,6,21,12400.0,380.0,120.0,30.0,25.0,40.0,12995.0,129.95,0.0,14.2,7,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
27,14,14,8600.0,260.0,180.0,22.0,10.0,50.0,9122.0,240.052632,0.0,17.0,9,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
28,6,18,18750.0,500.0,240.0,95.0,20.0,85.0,19690.0,328.166667,0.0,22.1,7,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
29,6,17,8600.0,260.0,180.0,22.0,10.0,50.0,9122.0,240.052632,0.0,17.0,7,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
30,14,13,9800.0,220.0,90.0,35.0,18.0,20.0,10183.0,70.227586,0.0,10.5,9,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
31,14,15,12400.0,380.0,120.0,30.0,25.0,40.0,12995.0,129.95,0.0,14.2,9,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
32,14,12,18750.0,500.0,240.0,95.0,20.0,85.0,19690.0,328.166667,0.0,22.1,9,2026-04-23 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
