id,company_id,production_order_id,entry_date,produced_qty,rejected_qty,damaged_qty,extra_consumption,stage,notes,created_by,created_at
15,14,6,2026-04-23,57.0,2.0,1.0,0.4,Quality Check,Completed demo batch,9,2026-04-23 17:56:35.767427+00:00
16,6,7,2026-04-23,57.0,2.0,1.0,0.4,Quality Check,Completed demo batch,7,2026-04-23 17:56:35.767427+00:00
17,14,8,2026-04-24,40.0,1.0,0.0,0.7,Assembly,Running batch partial output,9,2026-04-24 17:56:35.767427+00:00
18,6,9,2026-04-24,40.0,1.0,0.0,0.7,Assembly,Running batch partial output,7,2026-04-24 17:56:35.767427+00:00
19,6,19,2026-04-23,145.0,3.0,2.0,0.5,Mixing,FOOD scenario production entry,7,2026-04-23 17:56:35.767427+00:00
20,6,21,2026-04-23,100.0,2.0,1.0,0.5,Stitching,GARMENT scenario production entry,7,2026-04-23 17:56:35.767427+00:00
21,14,14,2026-04-23,38.0,1.0,1.0,0.5,Assembly,FURNITURE scenario production entry,9,2026-04-23 17:56:35.767427+00:00
22,6,18,2026-04-23,60.0,2.0,1.0,0.5,Testing,ELECTRONICS scenario production entry,7,2026-04-23 17:56:35.767427+00:00
23,6,17,2026-04-23,38.0,1.0,1.0,0.5,Assembly,FURNITURE scenario production entry,7,2026-04-23 17:56:35.767427+00:00
24,14,13,2026-04-23,145.0,3.0,2.0,0.5,Mixing,FOOD scenario production entry,9,2026-04-23 17:56:35.767427+00:00
25,14,15,2026-04-23,100.0,2.0,1.0,0.5,Stitching,GARMENT scenario production entry,9,2026-04-23 17:56:35.767427+00:00
26,14,12,2026-04-23,60.0,2.0,1.0,0.5,Testing,ELECTRONICS scenario production entry,9,2026-04-23 17:56:35.767427+00:00
