id,company_id,issue_no,production_order_id,issue_date,warehouse_id,issued_by,notes,total_value,created_by,updated_by,created_at,updated_at
9,14,DEMO-MI-COMP-14,6,2026-04-21,11,9,Completed order full issue,7200.0,9,9,2026-04-21 17:56:35.767427+00:00,2026-04-21 17:56:35.767427+00:00
10,6,DEMO-MI-COMP-6,7,2026-04-21,5,7,Completed order full issue,7200.0,7,7,2026-04-21 17:56:35.767427+00:00,2026-04-21 17:56:35.767427+00:00
11,14,DEMO-MI-RUN-14,8,2026-04-24,11,9,Running order partial issue,8700.0,9,9,2026-04-24 17:56:35.767427+00:00,2026-04-24 17:56:35.767427+00:00
12,6,DEMO-MI-RUN-6,9,2026-04-24,5,7,Running order partial issue,8700.0,7,7,2026-04-24 17:56:35.767427+00:00,2026-04-24 17:56:35.767427+00:00
13,14,DEMO-MI-ELECTRONICS-14,12,2026-04-22,11,9,ELECTRONICS scenario issue,18750.0,9,9,2026-04-22 17:56:35.767427+00:00,2026-04-22 17:56:35.767427+00:00
14,14,DEMO-MI-FURNITURE-14,14,2026-04-22,11,9,FURNITURE scenario issue,8600.0,9,9,2026-04-22 17:56:35.767427+00:00,2026-04-22 17:56:35.767427+00:00
15,14,DEMO-MI-GARMENT-14,15,2026-04-22,11,9,GARMENT scenario issue,12400.0,9,9,2026-04-22 17:56:35.767427+00:00,2026-04-22 17:56:35.767427+00:00
16,14,DEMO-MI-FOOD-14,13,2026-04-22,11,9,FOOD scenario issue,9800.0,9,9,2026-04-22 17:56:35.767427+00:00,2026-04-22 17:56:35.767427+00:00
17,6,DEMO-MI-ELECTRONICS-6,18,2026-04-22,5,7,ELECTRONICS scenario issue,18750.0,7,7,2026-04-22 17:56:35.767427+00:00,2026-04-22 17:56:35.767427+00:00
18,6,DEMO-MI-FURNITURE-6,17,2026-04-22,5,7,FURNITURE scenario issue,8600.0,7,7,2026-04-22 17:56:35.767427+00:00,2026-04-22 17:56:35.767427+00:00
19,6,DEMO-MI-GARMENT-6,21,2026-04-22,5,7,GARMENT scenario issue,12400.0,7,7,2026-04-22 17:56:35.767427+00:00,2026-04-22 17:56:35.767427+00:00
20,6,DEMO-MI-FOOD-6,19,2026-04-22,5,7,FOOD scenario issue,9800.0,7,7,2026-04-22 17:56:35.767427+00:00,2026-04-22 17:56:35.767427+00:00
