id,company_id,product_id,quantity,status,created_at,warehouse_id,bom_id,expand_sub_assemblies,options,bom_as_of,department_id,project_id,segment_id,voucher_id,order_no,order_date,planned_qty,expected_completion_date,priority,supervisor_name,rejection_qty,damaged_qty,operator,machine
4,14,34,1.0,COMPLETED,2026-04-20 01:51:04.940402+00:00,11,3,False,,,2.0,2.0,1.0,,,2026-04-24,,,,,0.0,0.0,,
5,14,34,1.0,COMPLETED,2026-04-20 01:51:04.989676+00:00,11,3,False,,,6.0,2.0,2.0,,,2026-04-24,,,,,0.0,0.0,,
6,14,1,60.0,COMPLETED,2026-04-20 17:49:57.407957+00:00,11,6,False,,,,,,,DEMO-PO-COMP-14,2026-04-20,60.0,2026-04-23,LOW,Completion Supervisor,2.0,1.0,,
7,6,2,60.0,COMPLETED,2026-04-20 17:49:57.407957+00:00,5,5,False,,,,,,,DEMO-PO-COMP-6,2026-04-20,60.0,2026-04-23,LOW,Completion Supervisor,2.0,1.0,,
9,6,2,120.0,DRAFT,2026-04-23 17:49:57.407957+00:00,5,5,False,,,,,,,DEMO-PO-RUN-6,2026-04-23,120.0,2026-04-26,HIGH,Running Supervisor,1.0,0.0,,
10,14,1,80.0,DRAFT,2026-04-24 17:49:57.407957+00:00,11,6,False,,,,,,,DEMO-PO-DRAFT-14,2026-04-25,80.0,2026-04-27,MEDIUM,Draft Supervisor,0.0,0.0,,
11,6,2,80.0,DRAFT,2026-04-24 17:49:57.407957+00:00,5,5,False,,,,,,,DEMO-PO-DRAFT-6,2026-04-25,80.0,2026-04-27,MEDIUM,Draft Supervisor,0.0,0.0,,
12,14,1,120.0,DRAFT,2026-04-21 17:50:10.329347+00:00,11,15,False,,,,,,,DEMO-PO-ELECTRONICS-14,2026-04-21,120.0,2026-04-26,HIGH,ELECTRONICS Supervisor,2.0,1.0,,
13,14,1,150.0,COMPLETED,2026-04-21 17:50:10.329347+00:00,11,14,False,,,,,,,DEMO-PO-FOOD-14,2026-04-21,150.0,2026-04-26,LOW,FOOD Supervisor,3.0,2.0,,
14,14,1,40.0,COMPLETED,2026-04-21 17:50:10.329347+00:00,11,12,False,,,,,,,DEMO-PO-FURNITURE-14,2026-04-21,40.0,2026-04-26,LOW,FURNITURE Supervisor,1.0,1.0,,
15,14,1,220.0,DRAFT,2026-04-21 17:50:10.329347+00:00,11,11,False,,,,,,,DEMO-PO-GARMENT-14,2026-04-21,220.0,2026-04-26,MEDIUM,GARMENT Supervisor,2.0,1.0,,
16,14,1,500.0,DRAFT,2026-04-21 17:50:10.329347+00:00,11,9,False,,,,,,,DEMO-PO-PHARMA-14,2026-04-21,500.0,2026-04-26,HIGH,PHARMA Supervisor,0.0,0.0,,
17,6,2,40.0,COMPLETED,2026-04-21 17:50:10.329347+00:00,5,16,False,,,,,,,DEMO-PO-FURNITURE-6,2026-04-21,40.0,2026-04-26,LOW,FURNITURE Supervisor,1.0,1.0,,
18,6,2,120.0,DRAFT,2026-04-21 17:50:10.329347+00:00,5,13,False,,,,,,,DEMO-PO-ELECTRONICS-6,2026-04-21,120.0,2026-04-26,HIGH,ELECTRONICS Supervisor,2.0,1.0,,
19,6,2,150.0,COMPLETED,2026-04-21 17:50:10.329347+00:00,5,10,False,,,,,,,DEMO-PO-FOOD-6,2026-04-21,150.0,2026-04-26,LOW,FOOD Supervisor,3.0,2.0,,
20,6,2,500.0,DRAFT,2026-04-21 17:50:10.329347+00:00,5,8,False,,,,,,,DEMO-PO-PHARMA-6,2026-04-21,500.0,2026-04-26,HIGH,PHARMA Supervisor,0.0,0.0,,
21,6,2,220.0,DRAFT,2026-04-21 17:50:10.329347+00:00,5,7,False,,,,,,,DEMO-PO-GARMENT-6,2026-04-21,220.0,2026-04-26,MEDIUM,GARMENT Supervisor,2.0,1.0,,
46,14,1,100.0,COMPLETED,2026-04-17 17:56:35.767427+00:00,11,6,False,,,,,,,DEMO-PO-14,2026-04-17,100.0,2026-04-23,HIGH,Demo Supervisor,3.0,2.0,,
47,6,2,100.0,COMPLETED,2026-04-17 17:56:35.767427+00:00,5,5,False,,,,,,,DEMO-PO-6,2026-04-17,100.0,2026-04-23,HIGH,Demo Supervisor,3.0,2.0,,
8,14,1,12.0,APPROVED,2026-04-23 17:49:57.407957+00:00,11,6,False,,,,,,,DEMO-PO-RUN-14,2026-04-23,120.0,2026-04-27,URGENT,Jagmohan,1.0,0.0,Ghimire,Mchine 1
