id,company_id,production_order_id,current_stage,issued_material_value,labor_added,overhead_added,total_wip_cost,created_at,updated_at
11,14,6,Packing,7200.0,130.0,90.0,7420.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
12,6,7,Packing,7200.0,130.0,90.0,7420.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
13,14,8,Assembly,8700.0,140.0,110.0,8950.0,2026-04-24 17:56:35.767427+00:00,2026-04-24 17:56:35.767427+00:00
14,6,9,Assembly,8700.0,140.0,110.0,8950.0,2026-04-24 17:56:35.767427+00:00,2026-04-24 17:56:35.767427+00:00
15,6,19,Mixing,9800.0,220.0,20.0,10040.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
16,6,21,Stitching,12400.0,380.0,40.0,12820.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
17,14,14,Assembly,8600.0,260.0,50.0,8910.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
18,6,18,Testing,18750.0,500.0,85.0,19335.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
19,6,17,Assembly,8600.0,260.0,50.0,8910.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
20,14,13,Mixing,9800.0,220.0,20.0,10040.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
21,14,15,Stitching,12400.0,380.0,40.0,12820.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
22,14,12,Testing,18750.0,500.0,85.0,19335.0,2026-04-22 17:56:35.767427+00:00,2026-04-23 17:56:35.767427+00:00
