id,bill_id,item_id,quantity,rate,discount,tax_rate,warehouse_id,remarks,department_id,project_id,segment_id,duty_tax_id,hs_code
118,81,5,1.0,500.0,100.0,13.0,,,,,,,
193,131,26,5.0,50000.0,0.0,0.0,11.0,,6.0,2.0,,,
194,132,25,10.0,5000.0,0.0,0.0,11.0,,,,,,
195,133,24,2.0,150000.0,0.0,0.0,11.0,,,,,,
18,19,4,5.0,500.0,0.0,0.0,,,,,,,
196,134,16,50.0,500.0,0.0,0.0,11.0,,,,,,
197,135,16,10.0,600.0,0.0,13.0,11.0,abc,,,,,
198,136,16,10.0,600.0,0.0,13.0,11.0,,,,,,
199,137,16,5.0,600.0,0.0,13.0,11.0,,,,,,
200,138,31,1.0,10000.0,0.0,13.0,11.0,,,,,,
201,139,25,5.0,5500.0,0.0,0.0,11.0,,,,,,
202,140,16,10.0,500.0,0.0,13.0,11.0,,,,,,
203,141,25,1.0,6000.0,0.0,0.0,11.0,,,,,,
136,90,15,1.0,500.0,0.0,0.0,15.0,,,,,,
137,89,15,1.0,500.0,0.0,0.0,15.0,,,,,,
138,91,15,5.0,500.0,0.0,0.0,15.0,,,,,,
139,92,15,1.0,500.0,0.0,0.0,15.0,,,,,,
140,93,15,1.0,500.0,0.0,0.0,15.0,,,,,,
141,94,15,1.0,500.0,0.0,0.0,15.0,,,,,,
142,95,15,1.0,600.0,0.0,0.0,15.0,,,,,,
204,142,25,1.0,7000.0,0.0,0.0,11.0,,,,,,
205,143,16,5.0,500.0,0.0,13.0,11.0,,,,,,
206,144,16,1.0,500.0,0.0,0.0,11.0,,,,,,
207,145,16,1.0,500.0,0.0,0.0,11.0,,,,,,
208,146,16,1.0,500.0,0.0,0.0,11.0,,,,,,
209,147,16,1.0,500.0,0.0,0.0,11.0,,,,,,
210,148,16,1.0,500.0,0.0,0.0,11.0,,,,,,
211,149,25,1.0,7000.0,0.0,0.0,11.0,,,,,,
151,104,8,5.0,1000.0,0.0,0.0,5.0,,,,,,
152,105,13,10.0,5000.0,0.0,13.0,5.0,,,,,,
212,150,24,1.0,200000.0,0.0,0.0,11.0,,,,,,
213,151,25,1.0,5000.0,0.0,13.0,11.0,,,,,,
214,151,16,1.0,500.0,0.0,13.0,11.0,,,,,,
215,151,27,1.0,100.0,0.0,0.0,11.0,,,,,,
216,152,16,5.0,500.0,100.0,13.0,11.0,,,,,,
217,152,20,5.0,700.0,100.0,0.0,11.0,,,,,,
218,153,16,1.0,500.0,0.0,13.0,11.0,,,,,,
219,154,16,1.0,500.0,100.0,13.0,11.0,,,,,,
220,155,25,1.0,5000.0,0.0,13.0,11.0,,,,,,
221,156,25,1.0,5000.0,0.0,13.0,11.0,,,,,,
222,157,16,1.0,500.0,0.0,13.0,11.0,,,,,,
223,158,25,1.0,5000.0,0.0,13.0,11.0,hd,,,,,
224,158,32,1.0,500.0,0.0,0.0,11.0,LR,,,,,
225,159,34,200.0,1000.0,0.0,0.0,11.0,,,,,,
226,159,33,300.0,500.0,0.0,0.0,11.0,,,,,,
227,160,33,1.0,500.0,0.0,13.0,11.0,,,,,,
228,161,25,10.0,500.0,0.0,13.0,11.0,,,,,,5454
229,162,35,10.0,500.0,0.0,13.0,11.0,,,,,,5454
