id,company_id,supplier_id,date,reference,created_at,updated_at,voucher_id,purchase_ledger_id,input_tax_ledger_id,narration,department_id,project_id,payment_mode_id,payment_ledger_id,bill_date,segment_id,apply_tds,tds_amount,tds_ledger_id,purchase_type
159,14,9,2026-04-16,,2026-04-16 11:23:08.522863+00:00,2026-04-16 11:23:08.877686+00:00,509.0,108.0,99.0,,,,,,2026-04-16,,False,,,LOCAL
160,14,1,2026-04-24,,2026-04-23 23:29:30.928498+00:00,2026-04-23 23:29:31.236299+00:00,514.0,108.0,99.0,,,,,,2026-04-24,,True,10.0,105.0,LOCAL
162,14,10,2026-04-24,INV-001,2026-04-24 05:20:06.798103+00:00,2026-04-24 05:20:06.798109+00:00,,,,Bulk purchase of peripherals,,,,,,,False,,,LOCAL
19,23,2,2025-11-27,,2025-11-27 11:48:07.878701+00:00,2025-12-09 10:04:32.952131+00:00,169.0,202.0,196.0,,,,,,,,False,,,LOCAL
132,14,1,2025-08-18,,2026-03-25 00:20:46.121944+00:00,2026-03-25 00:20:46.308289+00:00,442.0,276.0,99.0,,,,,,,,False,,,LOCAL
133,14,8,2025-09-16,,2026-03-26 01:35:27.390361+00:00,2026-03-26 01:35:27.634411+00:00,445.0,276.0,99.0,,,,,,,,False,,,LOCAL
134,14,1,2025-11-18,,2026-03-26 01:36:15.943743+00:00,2026-03-26 01:36:16.096001+00:00,446.0,276.0,99.0,,,,,,,,False,,,LOCAL
135,14,1,1968-12-31,55,2026-04-05 08:24:40.051919+00:00,2026-04-05 08:24:40.344182+00:00,475.0,276.0,99.0,,,,,,,,False,,,LOCAL
137,14,1,2026-04-05,1002,2026-04-05 08:33:49.970654+00:00,2026-04-05 08:33:50.130421+00:00,477.0,276.0,99.0,,,,,,,,False,,,LOCAL
139,14,1,1969-05-26,,2026-04-05 14:24:34.451241+00:00,2026-04-05 14:24:34.700635+00:00,481.0,276.0,99.0,,,,23.0,,,,False,,,LOCAL
89,24,7,2025-12-13,3,2025-12-12 23:15:50.994187+00:00,2025-12-13 05:42:00.372563+00:00,257.0,270.0,228.0,,,,,,,,False,,,LOCAL
141,14,1,1969-05-26,ewew,2026-04-05 22:43:46.319313+00:00,2026-04-05 22:43:46.475510+00:00,484.0,108.0,99.0,,,,,,,,False,,,LOCAL
143,14,1,1969-07-19,hkjkbn,2026-04-05 22:50:49.958145+00:00,2026-04-05 22:50:50.137483+00:00,486.0,108.0,99.0,,,,,,,,False,,,LOCAL
91,24,7,2025-12-14,7,2025-12-14 06:01:42.363882+00:00,2025-12-14 06:01:42.411743+00:00,263.0,270.0,228.0,,,,,,,,False,,,LOCAL
93,24,7,2025-12-14,8,2025-12-14 06:05:06.591247+00:00,2025-12-14 06:05:06.606071+00:00,265.0,270.0,228.0,,,,,,,,False,,,LOCAL
94,24,7,2025-12-14,9,2025-12-14 06:23:15.873240+00:00,2025-12-14 06:23:15.936239+00:00,266.0,270.0,228.0,,,,,,,,False,,,LOCAL
145,14,1,1969-05-26,,2026-04-05 23:34:24.029550+00:00,2026-04-05 23:34:24.200479+00:00,488.0,108.0,99.0,,,,,,,,False,,,LOCAL
147,14,1,2026-04-06,,2026-04-05 23:38:42.874058+00:00,2026-04-05 23:38:43.034195+00:00,490.0,108.0,99.0,,,,,,,,False,,,LOCAL
148,14,1,2026-04-06,,2026-04-05 23:38:51.010567+00:00,2026-04-05 23:38:51.152845+00:00,491.0,108.0,99.0,,,,,,,,False,,,LOCAL
150,14,8,2026-04-09,,2026-04-09 09:41:43.753226+00:00,2026-04-09 09:41:43.976221+00:00,496.0,108.0,99.0,,,,,,2026-04-09,,False,,,LOCAL
152,14,9,2026-04-12,,2026-04-12 00:39:04.022236+00:00,2026-04-12 00:39:04.302255+00:00,498.0,108.0,99.0,,,,,,2026-04-12,,False,,,LOCAL
154,14,9,2026-04-12,,2026-04-12 05:17:45.255053+00:00,2026-04-12 05:17:45.489226+00:00,500.0,108.0,99.0,,,,,,2026-04-12,,False,,,LOCAL
156,14,9,2026-04-12,,2026-04-12 07:25:38.175574+00:00,2026-04-12 07:25:38.342609+00:00,502.0,108.0,99.0,,,,,,2026-04-12,,True,75.0,105.0,LOCAL
158,14,9,2026-04-16,,2026-04-15 20:15:28.523558+00:00,2026-04-15 20:15:28.783124+00:00,508.0,108.0,99.0,,,,,,2026-04-16,,True,150.0,105.0,LOCAL
161,14,10,2023-01-01,INV-001,2026-04-24 04:10:38.569496+00:00,2026-04-24 04:10:38.569507+00:00,,,,Bulk purchase of peripherals,,,,,,,False,,,LOCAL
90,24,7,2025-12-13,4,2025-12-13 00:23:57.692895+00:00,2025-12-13 00:23:57.713033+00:00,256.0,270.0,228.0,,,,,,,,False,,,LOCAL
92,24,7,2025-12-14,8,2025-12-14 06:02:41.661712+00:00,2025-12-14 06:02:41.684900+00:00,264.0,270.0,228.0,,,,,,,,False,,,LOCAL
81,6,3,2025-12-13,1,2025-12-12 19:53:18.545258+00:00,2025-12-12 19:53:18.656425+00:00,238.0,42.0,257.0,,,,,,,,False,,,LOCAL
95,24,7,2025-12-14,99,2025-12-14 06:24:35.223571+00:00,2025-12-14 06:24:35.257075+00:00,267.0,270.0,228.0,,,,,,,,False,,,LOCAL
131,14,8,2025-07-17,,2026-03-24 23:28:24.349032+00:00,2026-03-24 23:28:24.567718+00:00,441.0,276.0,99.0,,6.0,2.0,,,,,False,,,LOCAL
136,14,1,1968-12-31,vbncbv,2026-04-05 08:28:07.100826+00:00,2026-04-05 08:28:07.248442+00:00,476.0,276.0,99.0,,,,,,,,False,,,LOCAL
138,14,1,2026-04-05,5555,2026-04-05 09:11:32.580953+00:00,2026-04-05 09:11:32.717285+00:00,478.0,276.0,99.0,,,,,,,,False,,,LOCAL
104,6,3,2025-12-24,8787,2025-12-24 11:03:31.438390+00:00,2025-12-24 11:03:31.521576+00:00,284.0,256.0,257.0,,,,,,,,False,,,LOCAL
105,6,3,2026-02-13,45,2026-02-12 23:57:53.579570+00:00,2026-02-12 23:57:53.731971+00:00,285.0,256.0,257.0,,,,,,,,False,,,LOCAL
140,14,1,1969-05-26,wrwr,2026-04-05 22:15:28.791173+00:00,2026-04-05 22:15:28.988644+00:00,482.0,108.0,99.0,,,,,,,,False,,,LOCAL
142,14,1,2026-04-06,fsfsff,2026-04-05 22:46:45.673789+00:00,2026-04-05 22:46:45.813071+00:00,485.0,108.0,99.0,,,,,,,,False,,,LOCAL
