id,invoice_id,item_id,quantity,rate,discount,tax_rate,warehouse_id,remarks,department_id,project_id,ref_no,sales_person_id,segment_id,hs_code
160,160,23,100.0,1000.0,0.0,0.0,,,2.0,2.0,,2.0,,
161,161,25,5.0,10000.0,0.0,0.0,11.0,,,,,,,
163,163,25,2.0,7000.0,0.0,0.0,11.0,,,,3131,,,
165,165,16,10.0,850.0,0.0,13.0,11.0,,,,,,,
166,166,16,10.0,850.0,0.0,13.0,11.0,,,,,,,
168,162,23,5.0,1000.0,0.0,0.0,11.0,kokk,,,,2.0,,
55,81,13,3.0,7000.0,0.0,0.0,5.0,,,,,,,
56,82,13,3.0,7000.0,100.0,13.0,5.0,,,,,,,
57,83,8,1.0,700.0,0.0,0.0,5.0,,,,,,,
172,164,16,5.0,850.0,0.0,13.0,11.0,,,,3131,,,
173,167,25,1.0,9000.0,0.0,0.0,11.0,,,,,,,
61,84,8,1.0,1000.0,100.0,13.0,5.0,,,,,,,
63,85,13,2.0,5000.0,200.0,13.0,5.0,,,,,,,
176,168,16,10.0,850.0,0.0,13.0,11.0,,,,3434,,,
177,169,16,1.0,850.0,0.0,13.0,11.0,,,,,,,
178,170,16,2.0,850.0,0.0,13.0,11.0,,,,,,,
179,171,16,1.0,850.0,0.0,13.0,11.0,,,,21,,,
180,172,16,1.0,850.0,0.0,13.0,11.0,,,,hjgj,,,
181,173,16,1.0,850.0,0.0,0.0,11.0,,,,,,,
182,174,16,1.0,1150.0,0.0,0.0,11.0,,,,,,,
183,175,22,50.0,500.0,0.0,0.0,,okkk,2.0,2.0,,2.0,,
184,176,23,50.0,800.0,0.0,0.0,,jhkjhk,6.0,2.0,,2.0,,
185,176,22,70.0,700.0,0.0,0.0,,ytuyt,6.0,2.0,,2.0,,
186,177,16,2.0,1000.0,0.0,0.0,11.0,,6.0,,,,,
188,181,30,1.0,10000.0,0.0,0.0,,Subscription: 5,,,,,,
189,182,30,1.0,100000.0,0.0,0.0,,Subscription: 5,,,,,,
190,183,31,2.0,5000.0,0.0,13.0,,,,,,,,
191,184,27,2.0,150.0,0.0,13.0,11.0,,,,,,,
192,185,16,1.0,850.0,0.0,13.0,11.0,,,,gjkg,,,
193,186,25,1.0,6000.0,0.0,0.0,11.0,,,,1213,,,
194,187,16,1.0,850.0,0.0,13.0,11.0,,,,,,,
195,188,27,3.0,150.0,0.0,13.0,11.0,,,,,,,
196,189,16,1.0,850.0,0.0,13.0,11.0,,,,,,,
197,190,16,1.0,850.0,0.0,13.0,11.0,,,,,,,
198,191,16,1.0,850.0,0.0,13.0,11.0,,,,3232,,,
199,192,31,1.0,850.0,0.0,0.0,,yuyyiyiu,,,,2.0,,
200,192,27,1.0,150.0,50.0,13.0,,,,,,,,
201,193,31,1.0,100000.0,0.0,0.0,,,,,,,,
203,195,16,5.0,1000.0,50.0,13.0,11.0,,,,,,,
50,76,15,5.0,800.0,0.0,0.0,15.0,,,,,,,
