id,company_id,customer_id,date,reference,created_at,updated_at,voucher_id,sales_ledger_id,output_tax_ledger_id,due_date,sales_person_id,narration,department_id,project_id,invoice_type,custom_reference,last_overdue_reminder_sent_at,overdue_reminders_sent,payment_ledger_id,bill_date,segment_id,apply_tds,tds_amount,tds_ledger_id,sales_type
160,14,10,2025-11-03,1001,2026-03-26 01:39:05.646118+00:00,2026-03-26 01:39:05.794761+00:00,447.0,107.0,100.0,2025-11-03,,,2.0,2.0,SERVICE,,,0,,,,False,,,LOCAL
76,24,7,2025-12-14,9,2025-12-14 06:27:44.507153+00:00,2025-12-14 06:27:44.582355+00:00,268.0,233.0,229.0,,,,,,PRODUCT,,,0,,,,False,,,LOCAL
161,14,15,2025-12-01,1002,2026-03-26 01:59:02.950296+00:00,2026-03-26 01:59:03.096200+00:00,448.0,107.0,100.0,2025-12-01,2.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
162,14,10,2025-10-01,1005,2026-03-27 05:54:07.280361+00:00,2026-03-27 05:54:07.510643+00:00,449.0,107.0,100.0,2025-10-01,,,,,SERVICE,,,0,,,,False,,,LOCAL
163,14,10,2025-07-22,1006,2026-03-27 05:56:51.497706+00:00,2026-03-27 05:56:51.725748+00:00,450.0,107.0,100.0,2025-07-22,2.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
164,14,10,2025-08-21,1008,2026-03-27 05:58:02.813208+00:00,2026-03-27 05:58:02.999983+00:00,451.0,107.0,100.0,2025-08-21,2.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
165,14,10,2025-10-24,1009,2026-03-27 05:58:58.125235+00:00,2026-03-27 05:58:58.308662+00:00,452.0,107.0,100.0,2025-10-24,,,,,PRODUCT,,,0,,,,False,,,LOCAL
166,14,8,2026-01-15,1009,2026-03-27 06:04:45.438263+00:00,2026-03-27 06:04:45.619252+00:00,453.0,107.0,100.0,2026-01-15,,,,,PRODUCT,,,0,,,,False,,,LOCAL
167,14,8,2026-03-27,1008,2026-03-27 07:10:08.576673+00:00,2026-03-27 07:10:08.747307+00:00,455.0,107.0,100.0,2026-03-27,2.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
168,14,8,2026-03-27,1010,2026-03-27 07:40:20.385278+00:00,2026-03-27 07:40:20.644198+00:00,456.0,107.0,100.0,2026-03-27,2.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
