filename,applied_at
20251214_01_add_tenant_settings_and_stock_batches.sql,2025-12-14 20:12:22.455610+00:00
20251214_02_add_company_default_sales_and_tax_ledgers.sql,2025-12-14 20:12:22.455610+00:00
20251215_01_unique_company_ledger_codes.sql,2025-12-14 20:12:22.455610+00:00
20251215_02_add_company_item_ledger_defaults.sql,2025-12-14 20:12:22.455610+00:00
20251216_01_add_company_settings.sql,2025-12-16 16:51:02.523707+00:00
20251217_01_add_tenant_id_to_user_menu_access.sql,2025-12-17 14:39:44.751562+00:00
20251218_01_unique_company_ledger_names_and_groups.sql,2025-12-18 15:23:12.431730+00:00
20251222_01_task_management.sql,2025-12-22 02:06:16.397362+00:00
20251222_02_fix_tasks_company_id.sql,2025-12-22 08:41:18.251064+00:00
20251222_03_repair_tasks_table_columns.sql,2025-12-22 08:45:33.314474+00:00
20251222_04_add_task_assignees.sql,2025-12-22 10:03:08.029573+00:00
20251223_01_add_task_assigned_completed_timestamps.sql,2025-12-23 08:58:55.123190+00:00
20251223_02_add_menu_templates_and_tenant_link.sql,2025-12-23 10:01:28.859791+00:00
20251224_01_add_menu_template_menu_grouping.sql,2025-12-24 07:29:04.901392+00:00
20251224_02_add_voucher_allocations.sql,2025-12-24 16:34:37.478032+00:00
20251225_01_payroll_module.sql,2025-12-25 02:19:56.173662+00:00
20251225_02_add_website_order_receipts.sql,2025-12-25 11:25:12.921288+00:00
20251225_03_add_outbound_messages.sql,2025-12-25 11:25:12.921288+00:00
20251225_04_add_receipt_voucher_to_website_order_receipts.sql,2025-12-25 11:25:12.921288+00:00
20251225_05_website_order_receipts_idempotency_payload.sql,2025-12-25 11:25:12.921288+00:00
20251225_06_add_required_frontend_menus.sql,2025-12-25 15:11:27.304084+00:00
20251225_07_add_sales_due_date_and_sales_person.sql,2025-12-25 16:16:42.731215+00:00
20251226_01_import_engine.sql,2025-12-26 03:08:56.566835+00:00
20260214_01_add_narration_and_remarks.sql,2026-02-13 15:36:26.468705+00:00
20260214_02_add_departments_projects_and_sales_dims.sql,2026-02-14 04:58:51.158010+00:00
20260214_03_add_lines_dims.sql,2026-02-14 05:01:50.467259+00:00
20260214_04_add_ref_no_to_sales_invoice_lines.sql,2026-02-14 05:41:36.025555+00:00
20260214_05_add_voucher_cost_center_flag.sql,2026-02-14 06:27:55.702322+00:00
20260214_06_add_invoice_type_column.sql,2026-02-14 06:55:27.198011+00:00
011_add_sales_person_to_invoice_lines.sql,2026-02-14 07:17:54.817582+00:00
20260224_01_add_delivery_charge_to_items.sql,2026-02-24 07:04:35.404146+00:00
20260224_02_add_payment_qr_url_to_company_settings.sql,2026-02-24 07:19:16.095024+00:00
20260227_01_add_collection_receipt_menu.sql,2026-02-26 18:49:03.005139+00:00
20260302_01_add_overdue_reminder_fields_to_sales_invoice.sql,2026-03-02 15:30:38.039053+00:00
20260319_01_add_task_id_to_notifications.sql,2026-03-19 10:27:29.528187+00:00
20260319_02_add_ai_settings_to_company_settings.sql,2026-03-19 10:27:29.528187+00:00
20260326_01_add_dynamic_item_fields.sql,2026-03-26 10:56:06.813725+00:00
20260326_02_seed_pharmacy_fields.sql,2026-03-26 12:51:47.751171+00:00
20260330_01_add_menu_template_id_to_plans.sql,2026-03-30 02:45:16.100650+00:00
20260404_01_add_ghost_accounting_settings.sql,2026-04-04 05:54:37.096323+00:00
20260415_01_add_bom_and_production.sql,2026-04-15 08:58:53.446160+00:00
20260415_02_backfill_bom_production_menus.sql,2026-04-15 09:39:05.284888+00:00
20260415_03_add_document_module.sql,2026-04-15 10:11:00.785763+00:00
20260415_04_add_tenant_document_scan_policy.sql,2026-04-15 10:17:32.389118+00:00
20260419_01_bom_production_extensions.sql,2026-04-19 07:04:56.522431+00:00
20260420_01_items_sell_as_kit.sql,2026-04-19 08:15:36.925966+00:00
20260420_02_add_bom_production_cost_center_dims.sql,2026-04-20 07:14:42.247947+00:00
20260420_03_add_production_order_voucher_link.sql,2026-04-20 07:51:30.704341+00:00
20260420_04_backfill_payroll_cost_center_commission_menus.sql,2026-04-20 14:28:05.530681+00:00
verify_20260420_04_payroll_cost_center_commission_menus.sql,2026-04-20 14:28:05.530681+00:00
20260421_01_add_designation_and_employee_extensions.sql,2026-04-21 13:45:13.948303+00:00
20260422_01_designation_template_lines.sql,2026-04-22 06:11:48.025738+00:00
20260422_02_employee_extra_payheads.sql,2026-04-22 06:56:35.420870+00:00
20260422_03_employee_salary_mode.sql,2026-04-22 08:38:10.487434+00:00
20260422_04_payhead_cost_center_option.sql,2026-04-22 14:45:09.686081+00:00
20260424_01_add_purchase_and_sales_type.sql,2026-04-24 14:37:12.053731+00:00
20260424_01_add_manufacturing_erp.sql,2026-04-24 16:25:42.781204+00:00
20260424_02_seed_manufacturing_demo_data.sql,2026-04-24 17:56:35.767427+00:00
20260424_03_seed_manufacturing_demo_status_mix.sql,2026-04-24 17:56:35.767427+00:00
20260424_04_seed_manufacturing_business_type_scenarios.sql,2026-04-24 17:56:35.767427+00:00
verify_20260424_01_manufacturing_demo_seed.sql,2026-04-24 17:56:35.767427+00:00
20260425_01_add_manufacturing_fg_journal_menu.sql,2026-04-24 18:29:44.659383+00:00
20260425_02_manufacturing_role_presets.sql,2026-04-25 13:43:16.992719+00:00
20260425_03_add_items_reorder_fields.sql,2026-04-25 13:43:16.992719+00:00
20260430_01_add_operator_and_machine_to_production_orders.sql,2026-04-30 06:52:36.540483+00:00
20260501_01_add_performance_indexes.sql,2026-05-01 07:03:10.749148+00:00
