id,company_id,warehouse_id,item_id,qty_delta,unit_cost,source_type,source_id,source_line_id,posted_at,reversed_at,reversal_of_ledger_id,created_by
1,24,15,15,1.0,500.0,PURCHASE_BILL,83,121.0,2025-12-12 18:15:00+00:00,2025-12-12 21:17:38.421972+00:00,,18
31,24,15,15,-1.0,500.0,PURCHASE_BILL,89,134.0,2025-12-13 00:20:32.976417+00:00,2025-12-13 05:42:00.306596+00:00,25.0,18
2,24,15,15,-1.0,500.0,PURCHASE_BILL,83,121.0,2025-12-12 21:17:38.421972+00:00,2025-12-12 21:40:40.562638+00:00,1.0,18
3,24,15,15,1.0,,PURCHASE_BILL,83,122.0,2025-12-12 21:17:38.465028+00:00,2025-12-12 21:40:40.562638+00:00,,18
32,24,15,15,1.0,,PURCHASE_BILL,89,135.0,2025-12-13 00:20:33.000495+00:00,2025-12-13 05:42:00.306596+00:00,,18
52,24,15,15,1.0,500.0,PURCHASE_BILL,89,134.0,2025-12-13 05:42:00.306596+00:00,,31.0,18
53,24,15,15,-1.0,,PURCHASE_BILL,89,135.0,2025-12-13 05:42:00.306596+00:00,,32.0,18
4,24,15,15,1.0,500.0,PURCHASE_BILL,83,121.0,2025-12-12 21:40:40.562638+00:00,2025-12-12 21:40:59.715242+00:00,2.0,18
5,24,15,15,-1.0,,PURCHASE_BILL,83,122.0,2025-12-12 21:40:40.562638+00:00,2025-12-12 21:40:59.715242+00:00,3.0,18
6,24,15,15,1.0,,PURCHASE_BILL,83,123.0,2025-12-12 21:40:40.639438+00:00,2025-12-12 21:40:59.715242+00:00,,18
7,24,15,15,-1.0,500.0,PURCHASE_BILL,83,121.0,2025-12-12 21:40:59.715242+00:00,,4.0,18
8,24,15,15,1.0,,PURCHASE_BILL,83,122.0,2025-12-12 21:40:59.715242+00:00,,5.0,18
9,24,15,15,-1.0,,PURCHASE_BILL,83,123.0,2025-12-12 21:40:59.715242+00:00,,6.0,18
10,24,15,15,1.0,,PURCHASE_BILL,83,124.0,2025-12-12 21:40:59.752845+00:00,,,18
54,24,15,15,1.0,,PURCHASE_BILL,89,137.0,2025-12-13 05:42:00.329766+00:00,,,18
11,24,15,15,1.0,500.0,PURCHASE_BILL,84,125.0,2025-12-12 18:15:00+00:00,2025-12-12 21:54:28.074802+00:00,,18
12,24,15,15,-1.0,500.0,PURCHASE_BILL,84,125.0,2025-12-12 21:54:28.074802+00:00,,11.0,18
13,24,15,15,1.0,,PURCHASE_BILL,84,126.0,2025-12-12 21:54:28.103958+00:00,,,18
14,24,15,15,1.0,500.0,PURCHASE_BILL,85,127.0,2025-12-12 18:15:00+00:00,2025-12-12 22:16:38.587088+00:00,,18
15,24,15,15,-1.0,500.0,PURCHASE_BILL,85,127.0,2025-12-12 22:16:38.587088+00:00,,14.0,18
16,24,15,15,1.0,,PURCHASE_BILL,85,128.0,2025-12-12 22:16:38.601039+00:00,,,18
17,24,15,15,1.0,500.0,PURCHASE_BILL,86,129.0,2025-12-12 18:15:00+00:00,2025-12-12 22:19:08.387727+00:00,,18
20,24,15,15,1.0,500.0,PURCHASE_BILL,87,131.0,2025-12-12 18:15:00+00:00,,,18
18,24,15,15,-1.0,500.0,PURCHASE_BILL,86,129.0,2025-12-12 22:19:08.387727+00:00,2025-12-12 22:31:36.801846+00:00,17.0,18
19,24,15,15,1.0,,PURCHASE_BILL,86,130.0,2025-12-12 22:19:08.396916+00:00,2025-12-12 22:31:36.801846+00:00,,18
21,24,15,15,1.0,500.0,PURCHASE_BILL,86,129.0,2025-12-12 22:31:36.801846+00:00,,18.0,18
22,24,15,15,-1.0,,PURCHASE_BILL,86,130.0,2025-12-12 22:31:36.801846+00:00,,19.0,18
23,24,15,15,1.0,,PURCHASE_BILL,86,132.0,2025-12-12 22:31:36.819511+00:00,,,18
24,24,15,15,1.0,500.0,PURCHASE_BILL,88,133.0,2025-12-12 18:15:00+00:00,,,18
25,24,15,15,1.0,500.0,PURCHASE_BILL,89,134.0,2025-12-12 18:15:00+00:00,2025-12-13 00:20:32.976417+00:00,,18
66,24,15,15,-1.0,500.0,PURCHASE_RETURN,2,,2025-12-12 18:15:00+00:00,,,18
67,24,15,15,-1.0,500.0,PURCHASE_RETURN,3,,2025-12-12 18:15:00+00:00,,,18
