id,task_id,user_id,created_at
1,5,14,2025-12-22 10:38:15.473594+00:00
2,6,14,2025-12-22 11:16:54.854570+00:00
4,7,14,2025-12-22 12:24:28.858064+00:00
5,7,9,2025-12-22 12:25:19.415737+00:00
6,8,14,2025-12-23 00:41:15.725732+00:00
7,9,14,2025-12-23 01:24:27.342324+00:00
8,10,14,2025-12-23 01:40:43.258800+00:00
9,11,14,2025-12-23 02:02:34.227485+00:00
10,12,14,2025-12-23 02:38:11.585361+00:00
11,13,14,2025-12-23 03:02:45.613617+00:00
12,14,14,2026-02-26 08:02:50.290133+00:00
13,15,9,2026-03-18 11:13:08.371544+00:00
14,15,14,2026-03-18 11:20:38.096401+00:00
15,16,14,2026-03-18 12:01:46.484992+00:00
16,17,14,2026-03-18 12:01:46.756893+00:00
17,18,14,2026-03-18 12:01:46.980621+00:00
18,19,14,2026-03-18 12:01:47.199277+00:00
19,20,14,2026-03-18 12:01:47.444774+00:00
20,21,14,2026-03-18 12:01:47.725918+00:00
21,22,14,2026-03-18 12:01:47.957282+00:00
22,23,14,2026-03-18 12:01:48.202214+00:00
