id,tenant_id,title,description,status,priority,due_at,created_by,assigned_to,created_at,updated_at,deleted_at,company_id,progress,assigned_at,completed_at,customer_id,department_id,project_id,task_head_id,forwarded_from_id
2,12,Test this files,,open,,2025-12-24 18:15:00+00:00,9,,2025-12-22 10:01:27.774861+00:00,2025-12-22 10:01:27.774866+00:00,,14,0,,,,,,,
1,12,Test this files,,done,,2025-12-24 18:15:00+00:00,9,,2025-12-22 10:01:20.319318+00:00,2025-12-22 10:03:06.777998+00:00,,14,41,,,,,,,
4,12,task3,task3,open,,2025-12-22 18:15:00+00:00,9,,2025-12-22 10:36:39.178798+00:00,2025-12-22 10:36:39.178810+00:00,,14,0,,,,,,,
3,12,task2,task222,open,,2025-12-22 18:15:00+00:00,9,,2025-12-22 10:31:49.595760+00:00,2025-12-22 12:10:41.052362+00:00,,14,100,,,,,,,
5,12,task3,task3,in_progress,,2025-12-22 18:15:00+00:00,9,,2025-12-22 10:38:15.023896+00:00,2025-12-22 12:14:41.476831+00:00,,14,50,,,,,,,
6,12,task4,hello,done,,2025-12-24 18:15:00+00:00,9,,2025-12-22 11:16:54.666683+00:00,2025-12-22 12:14:52.514241+00:00,,14,100,,,,,,,
7,12,task7,sasa,open,,2025-12-26 18:15:00+00:00,9,14.0,2025-12-22 12:24:28.762317+00:00,2025-12-22 12:25:19.412893+00:00,,14,0,,,,,,,
8,12,Task8,task88,open,,2025-12-23 18:15:00+00:00,9,,2025-12-23 00:41:15.497408+00:00,2025-12-23 00:41:15.714320+00:00,,14,0,,,,,,,
9,12,Task 9,Task999,open,,2025-12-22 18:15:00+00:00,9,,2025-12-23 01:24:27.192924+00:00,2025-12-23 01:24:27.333621+00:00,,14,0,,,,,,,
10,12,task10,task110,open,,2025-12-25 18:15:00+00:00,9,,2025-12-23 01:40:43.107444+00:00,2025-12-23 01:40:43.248914+00:00,,14,0,,,,,,,
11,12,task10,,open,medium,,9,,2025-12-23 02:02:33.830146+00:00,2025-12-23 02:02:34.207466+00:00,,14,0,,,,,,,
12,12,fssf,fsfs,open,high,,9,,2025-12-23 02:38:11.464449+00:00,2025-12-23 02:38:11.581020+00:00,,14,0,,,,,,,
13,12,gdgdg,gdgdg,open,,2025-12-22 18:15:00+00:00,9,,2025-12-23 03:02:45.476583+00:00,2025-12-23 03:02:45.607518+00:00,,14,0,,,,,,,
14,12,create vat bill,dgakgjd,open,medium,2026-02-25 18:15:00+00:00,9,,2026-02-26 08:02:50.133364+00:00,2026-02-26 08:02:50.287680+00:00,,14,0,,,,,,,
15,12,task1,comp1,open,medium,2026-03-18 18:15:00+00:00,9,14.0,2026-03-18 11:13:08.239578+00:00,2026-03-18 11:20:38.087727+00:00,,14,100,2026-03-18 17:05:38.087696+00:00,,17.0,2.0,2.0,,9.0
16,12,Hello56,gsgsggs,open,medium,2026-03-19 18:15:00+00:00,9,,2026-03-18 12:01:46.321513+00:00,2026-03-18 12:01:46.479632+00:00,,14,0,,,8.0,2.0,2.0,1.0,
17,12,Hello56,gsgsggs,open,medium,2026-03-19 18:15:00+00:00,9,,2026-03-18 12:01:46.520071+00:00,2026-03-18 12:01:46.754612+00:00,,14,0,,,8.0,2.0,2.0,2.0,
18,12,Hello56,gsgsggs,open,medium,2026-03-19 18:15:00+00:00,9,,2026-03-18 12:01:46.772354+00:00,2026-03-18 12:01:46.979366+00:00,,14,0,,,8.0,6.0,2.0,1.0,
19,12,Hello56,gsgsggs,open,medium,2026-03-19 18:15:00+00:00,9,,2026-03-18 12:01:47.000224+00:00,2026-03-18 12:01:47.198045+00:00,,14,0,,,8.0,6.0,2.0,2.0,
20,12,Hello56,gsgsggs,open,medium,2026-03-19 18:15:00+00:00,9,,2026-03-18 12:01:47.221805+00:00,2026-03-18 12:01:47.442509+00:00,,14,0,,,17.0,2.0,2.0,1.0,
21,12,Hello56,gsgsggs,open,medium,2026-03-19 18:15:00+00:00,9,,2026-03-18 12:01:47.475909+00:00,2026-03-18 12:01:47.724383+00:00,,14,0,,,17.0,2.0,2.0,2.0,
22,12,Hello56,gsgsggs,open,medium,2026-03-19 18:15:00+00:00,9,,2026-03-18 12:01:47.743917+00:00,2026-03-18 12:01:47.955070+00:00,,14,0,,,17.0,6.0,2.0,1.0,
23,12,Hello56,gsgsggs,open,medium,2026-03-19 18:15:00+00:00,9,,2026-03-18 12:01:47.982031+00:00,2026-03-18 12:01:48.200678+00:00,,14,0,,,17.0,6.0,2.0,2.0,
