tenant_id,inventory_valuation_method,allow_negative_stock,created_at,updated_at
1,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
2,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
4,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
7,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
9,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
8,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
10,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
11,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
12,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
13,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
14,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
15,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
16,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
17,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
18,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
19,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
20,FIFO,False,2025-12-14 20:12:22.455610+00:00,2025-12-14 20:12:22.455610+00:00
