id,company_id,voucher_date,voucher_type,voucher_number,narration,created_at,updated_at,fiscal_year,voucher_sequence,payment_mode_id,reverses_voucher_id,is_reversal,department_id,project_id,bank_remark,bill_date,segment_id,employee_id
1,3,2025-11-01,RECEIPT,,Cash received from NIc bank,2025-11-17 11:21:26.594165+00:00,2025-11-17 11:21:26.594176+00:00,,,,,False,,,,,,
441,14,2025-07-17,PURCHASE_BILL,VCHPUR82-83-001,Purchase bill 131,2026-03-24 23:28:24.555851+00:00,2026-03-24 23:28:24.555855+00:00,82-83,1.0,,,False,,,,,,
169,23,2025-11-27,JOURNAL,,Purchase bill 19,2025-12-09 10:04:32.946315+00:00,2025-12-09 10:04:32.946319+00:00,,,,,False,,,,,,
442,14,2025-08-18,PURCHASE_BILL,VCHPUR82-83-002,Purchase bill 132,2026-03-25 00:20:46.306121+00:00,2026-03-25 00:20:46.306125+00:00,82-83,2.0,,,False,,,,,,
443,14,2025-11-16,JOURNAL,VCHJRN82-83-001,Depreciation for period 2026-03-25 to 2026-03-25,2026-03-25 08:03:22.264871+00:00,2026-03-25 08:03:22.264876+00:00,82-83,1.0,,,False,,,,,,
225,24,2025-12-12,RECEIPT,REC-2025-000001,Cash received for Business,2025-12-12 09:24:52.662422+00:00,2025-12-12 09:24:52.662427+00:00,2025,1.0,10.0,,False,,,,,,
444,14,2026-03-14,JOURNAL,VCHJRN82-83-002,Depreciation for period 2026-03-25 to 2026-03-25,2026-03-25 08:07:33.034194+00:00,2026-03-25 08:07:33.034219+00:00,82-83,2.0,,,False,,,,,,
445,14,2025-09-16,PURCHASE_BILL,VCHPUR82-83-003,Purchase bill 133,2026-03-26 01:35:27.621392+00:00,2026-03-26 01:35:27.621397+00:00,82-83,3.0,,,False,,,,,,
446,14,2025-11-18,PURCHASE_BILL,VCHPUR82-83-004,Purchase bill 134,2026-03-26 01:36:16.094872+00:00,2026-03-26 01:36:16.094877+00:00,82-83,4.0,,,False,,,,,,
447,14,2025-11-03,SALES_INVOICE,VCHSAL82-83-001,Sales invoice 1001,2026-03-26 01:39:05.791828+00:00,2026-03-26 01:39:05.791834+00:00,82-83,1.0,,,False,,,,,,
448,14,2025-12-01,SALES_INVOICE,VCHSAL82-83-002,Sales invoice 1002,2026-03-26 01:59:03.091300+00:00,2026-03-26 01:59:03.091305+00:00,82-83,2.0,23.0,,False,,,,,,
449,14,2025-10-01,SALES_INVOICE,VCHSAL82-83-003,Sales invoice 1005,2026-03-27 05:54:07.491222+00:00,2026-03-27 05:54:07.491226+00:00,82-83,3.0,24.0,,False,,,,,,
450,14,2025-07-22,SALES_INVOICE,VCHSAL82-83-004,Sales invoice 1006,2026-03-27 05:56:51.716679+00:00,2026-03-27 05:56:51.716684+00:00,82-83,4.0,23.0,,False,,,,,,
451,14,2025-08-21,SALES_INVOICE,VCHSAL82-83-005,Sales invoice 1008,2026-03-27 05:58:02.994792+00:00,2026-03-27 05:58:02.994797+00:00,82-83,5.0,24.0,,False,,,,,,
